transaction_id,customer_id,account_id,transaction_timestamp,transaction_amount,transaction_type,merchant_id,merchant_name,merchant_city,merchant_state,merchant_zip,merchant_country,mcc_group,mer_sic,currency,card_present,entry_mode,device_used,ip_address,is_fraud,fraud_type
TXN0000010,CUST00000,ACC000000,2024-12-12 22:06:50,1461.45,Deposit,MER00019,Cruz Inc,Port Stephanieborough,AK,18340,US,High_Risk,Dating Service,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000011,CUST00000,ACC000000,2021-11-17 05:50:38,46.89,ATM Withdrawal,MER00009,"Huff, James and Johnson",New Mike,WA,70257,US,Travel,Cruise Line,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000012,CUST00000,ACC000000,2024-12-02 15:43:41,416.51,Purchase,MER00024,Brewer-King,Jefferymouth,VA,09097,CA,Utilities_Services,Phone Bill,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000013,CUST00000,ACC000000,2023-10-31 12:40:15,613.72,Online Transfer,MER00012,Solis-Ferguson,Millerville,MP,40919,US,High_Risk,Dating Service,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000014,CUST00000,ACC000000,2023-08-14 21:51:54,-183.75,Refund,MER00079,Levy Inc,Wilsonbury,KY,73983,US,Utilities_Services,Electric Bill,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000015,CUST00000,ACC000000,2023-03-02 23:33:48,109.45,Cash Advance,MER00030,"King, Sanchez and Cantrell",Sheamouth,VI,70699,US,High_Risk,Online Gambling,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000016,CUST00000,ACC000000,2021-09-11 08:58:30,974.92,Online Transfer,MER00060,Jennings and Sons,Webbville,MD,02571,US,Travel,Car Rental,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000017,CUST00000,ACC000000,2022-10-06 05:37:33,468.48,Cash Advance,MER00027,"Duffy, Soto and Bond",Lewisfurt,MP,39785,US,Retail_Specialty,Sporting Goods,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000018,CUST00000,ACC000000,2024-04-20 04:25:51,59.8,Cash Advance,MER00010,Stewart Inc,Davidmouth,CT,51295,CA,Financial_Services,Investment Broker,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000019,CUST00000,ACC000000,2022-02-14 02:03:56,494.36,Online Transfer,MER00024,Brewer-King,Jefferymouth,VA,09097,CA,Utilities_Services,Phone Bill,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000020,CUST00000,ACC000000,2023-02-04 02:09:59,82.25,ATM Withdrawal,MER00039,"Chambers, Hall and Walker",Olivermouth,ID,10812,US,Financial_Services,Investment Broker,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000021,CUST00000,ACC000000,2023-08-30 06:29:34,52.01,ATM Withdrawal,MER00013,"Patterson, Brown and Pearson",North Jenniferburgh,KS,35860,CA,Travel,Car Rental,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000022,CUST00000,ACC000000,2024-06-08 07:32:13,463.52,Bill Pay,MER00089,"Rodriguez, Trujillo and Butler",Lake Kennethville,MN,24823,CA,Retail_General,Book Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000023,CUST00000,ACC000000,2024-05-09 06:35:39,233.24,Cash Advance,MER00052,Collins Inc,Jennifershire,ND,19223,CA,Financial_Services,Loan Payment,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000024,CUST00000,ACC000000,2022-08-09 11:27:35,55.56,ATM Withdrawal,MER00024,Brewer-King,Jefferymouth,VA,09097,CA,Utilities_Services,Phone Bill,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000025,CUST00000,ACC000000,2024-12-30 20:26:15,489.32,Online Transfer,MER00077,Burke-Owens,Deborahchester,NJ,24642,CA,High_Risk,Dating Service,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000026,CUST00000,ACC000000,2022-01-15 23:51:02,783.96,Deposit,MER00027,"Duffy, Soto and Bond",Lewisfurt,MP,39785,US,Retail_Specialty,Sporting Goods,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000027,CUST00000,ACC000000,2021-10-23 08:56:23,765.05,Online Transfer,MER00011,Webb-Aguilar,Port Donstad,VI,52468,CA,Retail_Specialty,Jewelry Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000028,CUST00000,ACC000000,2022-04-16 02:36:11,1312.8,Deposit,MER00089,"Rodriguez, Trujillo and Butler",Lake Kennethville,MN,24823,CA,Retail_General,Book Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000029,CUST00000,ACC000000,2023-10-09 13:38:04,382.64,Purchase,MER00016,Schultz-Brown,Houstonton,NM,36576,CA,High_Risk,Adult Entertainment,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000030,CUST00000,ACC000000,2023-08-12 10:45:41,-66.4,Refund,MER00009,"Huff, James and Johnson",New Mike,WA,70257,US,Travel,Cruise Line,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000031,CUST00000,ACC000000,2023-05-06 12:26:09,1923.97,Deposit,MER00085,Harmon Group,Stephenstown,MN,48139,US,Retail_General,Grocery Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000032,CUST00000,ACC000000,2021-07-21 10:08:37,1222.74,Deposit,MER00030,"King, Sanchez and Cantrell",Sheamouth,VI,70699,US,High_Risk,Online Gambling,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000033,CUST00000,ACC000000,2024-04-24 20:40:22,503.99,Online Transfer,MER00042,Escobar-Drake,Danielton,NC,48142,CA,Cash_Like,Prepaid Card Load,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000034,CUST00000,ACC000000,2022-01-20 15:45:43,394.02,Bill Pay,MER00098,Herrera Group,Pearsonfort,MA,89255,US,Cash_Like,ATM,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000035,CUST00000,ACC000000,2022-11-24 12:15:07,926.7,Online Transfer,MER00073,Garcia-Sanchez,Brownside,ME,21430,US,Cash_Like,Money Order,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000036,CUST00000,ACC000000,2024-08-31 14:58:35,1211.09,Deposit,MER00059,"Rosales, Harris and Evans",Andradestad,IN,11583,US,Cash_Like,Prepaid Card Load,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000037,CUST00000,ACC000000,2022-06-25 23:47:54,316.62,Cash Advance,MER00029,"Santana, Roberts and Moore",Wiseside,IL,86600,US,High_Risk,Adult Entertainment,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000038,CUST00000,ACC000000,2024-03-24 10:22:35,279.64,Online Transfer,MER00081,"Watson, Hubbard and Khan",New Josephport,MN,34519,US,Utilities_Services,Electric Bill,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000039,CUST00000,ACC000000,2022-02-15 08:56:31,95.23,Cash Advance,MER00039,"Chambers, Hall and Walker",Olivermouth,ID,10812,US,Financial_Services,Investment Broker,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000040,CUST00000,ACC000000,2021-08-15 06:27:13,872.97,Online Transfer,MER00047,Wright LLC,Davisberg,PR,11887,CA,Travel,Hotel,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000041,CUST00000,ACC000000,2023-10-09 21:58:04,11.31,Cash Advance,MER00007,"Rangel, Guzman and Mcclain",South Kellyshire,IA,42180,CA,Travel,Cruise Line,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000042,CUST00000,ACC000000,2021-08-15 04:16:55,1840.89,Deposit,MER00035,Nelson-Kramer,Elizabethtown,IA,74193,US,Utilities_Services,Restaurant,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000043,CUST00000,ACC000000,2022-09-29 13:46:05,1487.08,Deposit,MER00013,"Patterson, Brown and Pearson",North Jenniferburgh,KS,35860,CA,Travel,Car Rental,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000044,CUST00000,ACC000000,2024-09-30 12:11:33,596.45,Online Transfer,MER00071,"Norris, Shelton and Evans",New Jenniferberg,IA,56070,CA,Financial_Services,Investment Broker,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000045,CUST00000,ACC000000,2024-07-31 16:26:36,700.17,Online Transfer,MER00064,"Pierce, Sanders and Yoder",Scottmouth,NE,63945,US,High_Risk,Crypto Exchange,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000046,CUST00000,ACC000000,2024-09-09 08:44:52,59.56,Bill Pay,MER00087,Robinson Ltd,Elizabethland,ME,39445,CA,Retail_General,Book Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000047,CUST00000,ACC000000,2022-05-27 02:42:42,299.59,Cash Advance,MER00052,Collins Inc,Jennifershire,ND,19223,CA,Financial_Services,Loan Payment,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000048,CUST00000,ACC000000,2023-03-05 23:08:32,456.82,Cash Advance,MER00025,James-Patterson,Gomezhaven,ID,87828,US,Utilities_Services,Electric Bill,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000049,CUST00000,ACC000000,2023-04-27 07:27:40,-86.51,Refund,MER00064,"Pierce, Sanders and Yoder",Scottmouth,NE,63945,US,High_Risk,Crypto Exchange,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000050,CUST00000,ACC000000,2024-05-27 00:28:09,121.3,ATM Withdrawal,MER00084,"Mason, Perry and Thomas",Allenstad,MO,14466,US,Travel,Airline,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000051,CUST00000,ACC000000,2024-01-18 05:34:33,219.0,Purchase,MER00089,"Rodriguez, Trujillo and Butler",Lake Kennethville,MN,24823,CA,Retail_General,Book Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000052,CUST00000,ACC000000,2023-01-26 14:22:21,433.01,Purchase,MER00052,Collins Inc,Jennifershire,ND,19223,CA,Financial_Services,Loan Payment,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000053,CUST00000,ACC000000,2022-08-15 18:02:46,108.0,ATM Withdrawal,MER00006,"Watts, West and Sanders",Mayomouth,GA,25045,CA,Financial_Services,Loan Payment,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000054,CUST00000,ACC000000,2022-09-11 03:35:10,99.87,Online Transfer,MER00087,Robinson Ltd,Elizabethland,ME,39445,CA,Retail_General,Book Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000055,CUST00000,ACC000000,2022-02-02 11:06:06,-86.1,Refund,MER00019,Cruz Inc,Port Stephanieborough,AK,18340,US,High_Risk,Dating Service,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000056,CUST00000,ACC000000,2023-11-21 00:49:06,154.99,ATM Withdrawal,MER00089,"Rodriguez, Trujillo and Butler",Lake Kennethville,MN,24823,CA,Retail_General,Book Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000057,CUST00000,ACC000000,2023-03-23 23:33:46,304.26,Online Transfer,MER00022,Roman LLC,Peterstad,MH,53979,CA,Utilities_Services,Mechanic,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000058,CUST00000,ACC000000,2022-03-06 04:17:43,699.71,Online Transfer,MER00070,Williams-Wong,West Alanborough,KY,53989,CA,Retail_Specialty,Jewelry Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000059,CUST00000,ACC000000,2023-11-03 14:55:10,142.2,Purchase,MER00079,Levy Inc,Wilsonbury,KY,73983,US,Utilities_Services,Electric Bill,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000060,CUST00000,ACC000000,2024-08-25 09:12:06,-44.81,Refund,MER00048,"Stewart, Alvarez and Richmond",Port Ronald,FM,13805,CA,Retail_General,Grocery Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000061,CUST00000,ACC000000,2022-01-31 02:28:59,1403.13,Deposit,MER00029,"Santana, Roberts and Moore",Wiseside,IL,86600,US,High_Risk,Adult Entertainment,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000062,CUST00000,ACC000000,2023-04-14 10:01:33,163.67,ATM Withdrawal,MER00039,"Chambers, Hall and Walker",Olivermouth,ID,10812,US,Financial_Services,Investment Broker,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000063,CUST00000,ACC000000,2022-05-22 13:44:04,467.46,Purchase,MER00012,Solis-Ferguson,Millerville,MP,40919,US,High_Risk,Dating Service,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000064,CUST00000,ACC000000,2022-10-15 18:32:39,170.89,ATM Withdrawal,MER00031,Kelly Ltd,Luiston,MN,94968,US,Utilities_Services,Mechanic,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000065,CUST00000,ACC000000,2022-02-09 20:17:03,38.26,ATM Withdrawal,MER00074,Smith and Sons,West Laura,HI,04633,CA,Travel,Hotel,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000066,CUST00000,ACC000000,2022-08-03 08:18:55,240.45,Cash Advance,MER00014,"Padilla, White and Gould",Baileymouth,AR,82612,US,High_Risk,Online Gambling,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000067,CUST00000,ACC000000,2021-06-07 14:45:10,-81.12,Refund,MER00045,"Winters, Torres and Poole",Katelynbury,UT,59975,US,High_Risk,Crypto Exchange,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000068,CUST00000,ACC000000,2022-01-04 07:55:04,124.66,Purchase,MER00074,Smith and Sons,West Laura,HI,04633,CA,Travel,Hotel,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000069,CUST00000,ACC000000,2021-07-13 15:05:58,429.77,Online Transfer,MER00066,Ramos LLC,Melissaland,MN,26256,US,Retail_General,Grocery Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000070,CUST00000,ACC000000,2024-11-01 03:43:01,167.39,ATM Withdrawal,MER00038,"Davis, Clark and Perez",East Reginaview,WI,90125,US,Retail_General,Grocery Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000071,CUST00000,ACC000000,2024-05-09 22:19:02,185.99,Purchase,MER00015,Day and Sons,North David,VA,20152,CA,Financial_Services,Bank Fees,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000072,CUST00000,ACC000000,2022-09-20 17:31:10,155.57,Deposit,MER00042,Escobar-Drake,Danielton,NC,48142,CA,Cash_Like,Prepaid Card Load,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000073,CUST00000,ACC000000,2024-01-14 23:05:37,-38.86,Refund,MER00020,Floyd-Conway,Taylorshire,NV,48143,CA,Cash_Like,Money Order,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000074,CUST00000,ACC000000,2022-10-16 13:15:42,57.77,Bill Pay,MER00099,Fox-Daniel,Marissafort,MH,37838,CA,Cash_Like,Money Order,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000075,CUST00000,ACC000000,2024-10-18 23:17:33,175.02,Online Transfer,MER00007,"Rangel, Guzman and Mcclain",South Kellyshire,IA,42180,CA,Travel,Cruise Line,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000076,CUST00000,ACC000000,2024-09-29 23:24:20,22.62,Cash Advance,MER00074,Smith and Sons,West Laura,HI,04633,CA,Travel,Hotel,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000077,CUST00000,ACC000000,2024-08-14 05:35:00,227.71,Deposit,MER00043,Walker-Lee,Michaelmouth,CO,34519,US,High_Risk,Crypto Exchange,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000078,CUST00000,ACC000000,2022-10-23 08:12:02,177.9,Purchase,MER00066,Ramos LLC,Melissaland,MN,26256,US,Retail_General,Grocery Store,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000079,CUST00000,ACC000000,2024-04-08 16:15:11,291.23,Online Transfer,MER00048,"Stewart, Alvarez and Richmond",Port Ronald,FM,13805,CA,Retail_General,Grocery Store,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000080,CUST00000,ACC000000,2024-05-16 12:43:31,237.87,Cash Advance,MER00007,"Rangel, Guzman and Mcclain",South Kellyshire,IA,42180,CA,Travel,Cruise Line,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000081,CUST00000,ACC000000,2024-04-13 23:52:23,170.75,Bill Pay,MER00033,Ellis LLC,Port Carrie,ID,74837,CA,Financial_Services,Investment Broker,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000082,CUST00000,ACC000000,2021-11-09 09:30:53,130.69,Bill Pay,MER00003,"Cochran, Robinson and Mcintosh",Gardnerstad,AK,12006,CA,Cash_Like,Prepaid Card Load,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000083,CUST00000,ACC000000,2023-01-31 06:14:00,161.09,ATM Withdrawal,MER00031,Kelly Ltd,Luiston,MN,94968,US,Utilities_Services,Mechanic,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000084,CUST00000,ACC000000,2023-02-01 17:11:43,33.4,ATM Withdrawal,MER00023,"Waters, Crawford and Williams",Danielsfort,WY,27800,CA,Retail_General,Book Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000085,CUST00000,ACC000000,2024-05-21 10:50:57,83.08,Bill Pay,MER00067,King LLC,North Lisaburgh,AL,17662,US,Utilities_Services,Electric Bill,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000086,CUST00000,ACC000000,2023-03-13 00:29:17,159.77,Purchase,MER00079,Levy Inc,Wilsonbury,KY,73983,US,Utilities_Services,Electric Bill,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000087,CUST00000,ACC000000,2021-12-29 23:40:22,160.62,Purchase,MER00035,Nelson-Kramer,Elizabethtown,IA,74193,US,Utilities_Services,Restaurant,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000088,CUST00000,ACC000000,2023-06-22 05:41:44,182.46,Cash Advance,MER00058,Carter-Johnson,Courtneyborough,MH,11652,CA,Retail_Specialty,Sporting Goods,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000089,CUST00000,ACC000000,2023-11-16 07:18:30,57.13,Bill Pay,MER00094,Ray-White,Port Stephanie,PA,15392,US,Travel,Airline,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000090,CUST00000,ACC000000,2022-04-05 04:33:32,-14.56,Refund,MER00020,Floyd-Conway,Taylorshire,NV,48143,CA,Cash_Like,Money Order,USD,True,Contactless,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000091,CUST00000,ACC000000,2024-08-06 02:29:14,136.06,Deposit,MER00002,Hicks Group,Kaneberg,TN,70070,CA,Cash_Like,Money Order,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000092,CUST00000,ACC000000,2024-08-05 20:05:51,211.71,Cash Advance,MER00034,Terry Group,Lake Tracy,FL,77871,US,Retail_Specialty,Jewelry Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000093,CUST00000,ACC000000,2024-06-16 04:16:24,107.41,ATM Withdrawal,MER00015,Day and Sons,North David,VA,20152,CA,Financial_Services,Bank Fees,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000094,CUST00000,ACC000000,2023-11-13 14:04:40,163.86,ATM Withdrawal,MER00072,"Wagner, Williams and Oneal",South Gerald,AR,98849,US,Retail_Specialty,Sporting Goods,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000096,CUST00000,ACC000000,2023-07-26 10:57:17,206.78,Purchase,MER00066,Ramos LLC,Melissaland,MN,26256,US,Retail_General,Grocery Store,USD,False,E-commerce,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000097,CUST00000,ACC000000,2024-05-08 09:46:17,222.76,Deposit,MER00050,Myers-Smith,South Ashleyland,PA,57056,CA,Retail_General,Book Store,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000098,CUST00000,ACC000000,2023-02-17 04:02:13,733.51,Deposit,MER00044,"Sherman, Davila and Yates",New Jesseville,CO,62974,CA,Utilities_Services,Restaurant,USD,True,Chip,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000099,CUST00000,ACC000000,2023-11-09 09:58:57,212.12,Bill Pay,MER00030,"King, Sanchez and Cantrell",Sheamouth,VI,70699,US,High_Risk,Online Gambling,USD,True,Swipe,d4023a51c9ebd7b6,192.168.2.63,False,
TXN0000100,CUST00001,ACC000001,2023-11-05 18:41:23,984.38,Deposit,MER00055,"Hernandez, Thomas and Franklin",South Kenneth,AZ,89567,CA,Travel,Hotel,USD,True,Chip,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000101,CUST00001,ACC000001,2024-07-05 06:06:30,150.32,ATM Withdrawal,MER00011,Webb-Aguilar,Port Donstad,VI,52468,CA,Retail_Specialty,Jewelry Store,USD,True,Chip,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000102,CUST00001,ACC000001,2024-11-22 10:40:26,148.74,Cash Advance,MER00098,Herrera Group,Pearsonfort,MA,89255,US,Cash_Like,ATM,USD,True,Contactless,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000103,CUST00001,ACC000001,2023-11-19 00:40:41,221.59,Bill Pay,MER00034,Terry Group,Lake Tracy,FL,77871,US,Retail_Specialty,Jewelry Store,USD,True,Swipe,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000104,CUST00001,ACC000001,2024-07-26 14:33:25,148.15,ATM Withdrawal,MER00007,"Rangel, Guzman and Mcclain",South Kellyshire,IA,42180,CA,Travel,Cruise Line,USD,True,Chip,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000105,CUST00001,ACC000001,2023-12-11 09:21:24,385.48,Purchase,MER00099,Fox-Daniel,Marissafort,MH,37838,CA,Cash_Like,Money Order,USD,False,E-commerce,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000106,CUST00001,ACC000001,2024-07-30 05:29:49,301.22,Cash Advance,MER00045,"Winters, Torres and Poole",Katelynbury,UT,59975,US,High_Risk,Crypto Exchange,USD,False,E-commerce,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000107,CUST00001,ACC000001,2023-09-10 04:32:13,-195.62,Refund,MER00034,Terry Group,Lake Tracy,FL,77871,US,Retail_Specialty,Jewelry Store,USD,True,Swipe,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000108,CUST00001,ACC000001,2024-06-14 10:03:45,133.81,Purchase,MER00027,"Duffy, Soto and Bond",Lewisfurt,MP,39785,US,Retail_Specialty,Sporting Goods,USD,False,E-commerce,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000109,CUST00001,ACC000001,2024-01-12 14:47:35,897.82,Deposit,MER00032,Carlson PLC,Richardburgh,VA,01574,US,Travel,Airline,USD,True,Chip,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000110,CUST00001,ACC000001,2024-06-05 02:10:33,583.13,Online Transfer,MER00080,Savage-Johnson,Daltonborough,NH,01342,US,Retail_Specialty,Jewelry Store,USD,False,E-commerce,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000111,CUST00001,ACC000001,2023-09-08 10:20:01,215.37,Purchase,MER00052,Collins Inc,Jennifershire,ND,19223,CA,Financial_Services,Loan Payment,USD,False,E-commerce,456d1c619c4ae6f9,192.168.0.174,False,
TXN0000112,CUST00001,ACC000001,2024-05-21 20:25:22,178.79,Purchase,MER00061,Thomas-Richards,Jacobsfurt,MH,45030,CA,Utilities_Services,Restaurant,USD,False,E-commerce,456d1c619c4ae6f9,192.168.0.174,False,
